Time,Source,Destination,Protocol,Length,portnumber,Info
2015-10-2409:43:52,192.168.0.105,192.168.0.1,DNS,71,53,s.ytimg.com
2015-10-2409:43:52,192.168.0.105,192.168.0.1,DNS,80,53,pixel.quantserve.com
2015-10-2409:43:52,192.168.0.105,192.168.0.1,DNS,77,53,fonts.gstatic.com
2015-10-2409:43:52,192.168.0.105,192.168.0.1,DNS,71,53,i.ytimg.com
2015-10-2409:43:52,192.168.0.105,192.168.0.1,DNS,101,53,r4---sn-5jucgv5qc5oq-cage.googlevideo.com
2015-10-2409:43:52,192.168.0.105,192.168.0.1,DNS,73,53,s.youtube.com
2015-10-2409:43:52,192.168.0.105,192.168.0.1,DNS,82,53,static.doubleclick.net
2015-10-2409:43:53,192.168.0.105,192.168.0.1,DNS,78,53,b.config.skype.com
2015-10-2409:43:55,192.168.0.105,192.168.0.1,DNS,87,53,sqs.us-east-1.amazonaws.com
2015-10-2409:43:55,192.168.0.105,192.168.0.1,DNS,89,53,visitanalytics.userreport.com
2015-10-2409:43:55,192.168.0.105,192.168.0.1,DNS,82,53,cdw-dcl.userreport.com
2015-10-2409:43:55,192.168.0.105,192.168.0.1,DNS,80,53,server.adformdsp.net
2015-10-2409:43:58,192.168.0.105,192.168.0.1,DNS,80,53,static.chartbeat.com
2015-10-2409:43:58,192.168.0.105,192.168.0.1,DNS,75,53,beacon.krxd.net
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,69,53,ml314.com
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,73,53,adadvisor.net
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,71,53,s.ixiaa.com
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,76,53,sync.tidaltv.com
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,76,53,match.adsrvr.org
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,74,53,1.gravatar.com
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,78,53,ping.chartbeat.net
2015-10-2409:43:59,192.168.0.105,192.168.0.1,DNS,80,53,adsapi.chartbeat.com
2015-10-2409:44:00,192.168.0.105,192.168.0.1,DNS,87,53,cdn.syndication.twitter.com
2015-10-2409:44:00,192.168.0.105,192.168.0.1,DNS,85,53,cdn.syndication.twimg.com
