"Time","Source","Destination","Protocol","Length","port number","Info"
"2015-10-24 09:43:47","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x3c87  A pixel.wp.com"
"2015-10-24 09:43:48","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0xd0a6  A clients1.google.com"
"2015-10-24 09:43:49","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x4355  A cms.quantserve.com"
"2015-10-24 09:43:49","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x9fdb  A goog.applovin.com"
"2015-10-24 09:43:49","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0xd2c1  A p.rfihub.com"
"2015-10-24 09:43:49","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0x5dfb  A pm.w55c.net"
"2015-10-24 09:43:49","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0x3bf1  A s0.2mdn.net"
"2015-10-24 09:43:49","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x360e  A wpcomwidgets.com"
"2015-10-24 09:43:49","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0xad10  A images.outbrain.com"
"2015-10-24 09:43:50","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x721f  A ct.buzzfeed.com"
"2015-10-24 09:43:50","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0xc416  A tpc.googlesyndication.com"
"2015-10-24 09:43:50","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0xc977  A tag.userreport.com"
"2015-10-24 09:43:50","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x03dc  A log.outbrain.com"
"2015-10-24 09:43:51","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0x62bd  A cm.send.microad-cn.com"
"2015-10-24 09:43:51","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x13ae  A blogs.rollcall.com"
"2015-10-24 09:43:51","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x9ecf  A software.intel.com"
"2015-10-24 09:43:51","192.168.0.105","192.168.0.1","DNS","74","53","Standard query 0x9ad6  A www.webiot.com"
"2015-10-24 09:43:52","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0xee7d  A s.ytimg.com"
"2015-10-24 09:43:52","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0x7fe3  A pixel.quantserve.com"
"2015-10-24 09:43:52","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x2918  A fonts.gstatic.com"
"2015-10-24 09:43:52","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0x8ca6  A i.ytimg.com"
"2015-10-24 09:43:52","192.168.0.105","192.168.0.1","DNS","101","53","Standard query 0x7329  A r4---sn-5jucgv5qc5oq-cage.googlevideo.com"
"2015-10-24 09:43:52","192.168.0.105","192.168.0.1","DNS","73","53","Standard query 0xb51e  A s.youtube.com"
"2015-10-24 09:43:52","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0x80ed  A static.doubleclick.net"
"2015-10-24 09:43:53","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x20c6  A b.config.skype.com"
"2015-10-24 09:43:55","192.168.0.105","192.168.0.1","DNS","87","53","Standard query 0x1332  A sqs.us-east-1.amazonaws.com"
"2015-10-24 09:43:55","192.168.0.105","192.168.0.1","DNS","89","53","Standard query 0x1208  A visitanalytics.userreport.com"
"2015-10-24 09:43:55","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0x9ad3  A cdw-dcl.userreport.com"
"2015-10-24 09:43:55","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0x2a4a  A server.adformdsp.net"
"2015-10-24 09:43:58","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0x6434  A static.chartbeat.com"
"2015-10-24 09:43:58","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x3fe0  A beacon.krxd.net"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","69","53","Standard query 0xcf4e  A ml314.com"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","73","53","Standard query 0x79fb  A adadvisor.net"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0x1319  A s.ixiaa.com"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x2872  A sync.tidaltv.com"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x1746  A match.adsrvr.org"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","74","53","Standard query 0xa07d  A 1.gravatar.com"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x155a  A ping.chartbeat.net"
"2015-10-24 09:43:59","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0x8ec5  A adsapi.chartbeat.com"
"2015-10-24 09:44:00","192.168.0.105","192.168.0.1","DNS","87","53","Standard query 0x405c  A cdn.syndication.twitter.com"
"2015-10-24 09:44:00","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0x1a16  A cdn.syndication.twimg.com"
"2015-10-24 09:44:00","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x1746  A match.adsrvr.org"
"2015-10-24 09:44:00","192.168.0.105","192.168.0.1","DNS","74","53","Standard query 0xa07d  A 1.gravatar.com"
"2015-10-24 09:44:00","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x7186  A syndication.twitter.com"
"2015-10-24 09:44:02","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0xb4f4  A tags.bluekai.com"
"2015-10-24 09:44:02","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x19d3  A idsync.rlcdn.com"
"2015-10-24 09:44:02","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x7ef5  A bcp.crwdcntrl.net"
"2015-10-24 09:44:02","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x9edb  A trc.taboola.com"
"2015-10-24 09:44:03","192.168.0.105","192.168.0.1","DNS","73","53","Standard query 0x6a4a  A rtg.ml314.com"
"2015-10-24 09:44:15","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x32ff  A perpro07-as1a.ml314.com"
"2015-10-24 09:44:30","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x69b6  A clients2.google.com"
"2015-10-24 09:44:30","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0x8458  A update.toolbar.widdit.com"
"2015-10-24 09:44:35","192.168.0.105","192.168.0.1","DNS","90","53","Standard query 0x6b77  A clients2.googleusercontent.com"
"2015-10-24 09:45:14","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0xd238  A ping.chartbeat.net"
"2015-10-24 09:45:23","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0xafa6  A edge01.chartbeat.net"
"2015-10-24 09:45:24","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0xf267  A lh4.googleusercontent.com"
"2015-10-24 09:45:25","192.168.0.105","192.168.0.1","DNS","73","53","Standard query 0xfea9  A d.dropbox.com"
"2015-10-24 09:45:25","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x5b46  A ctldl.windowsupdate.com"
"2015-10-24 09:45:25","192.168.0.105","192.168.0.1","DNS","73","53","Standard query 0x422d  A g.ceipmsn.com"
"2015-10-24 09:45:26","192.168.0.105","192.168.0.1","DNS","81","53","Standard query 0xd11a  A searchclient.live.net"
"2015-10-24 09:45:27","192.168.0.105","192.168.0.1","DNS","87","53","Standard query 0xac58  A timesofindia.indiatimes.com"
"2015-10-24 09:45:27","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0xf995  A cdn.mouseflow.com"
"2015-10-24 09:45:27","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x142b  A ds.serving-sys.com"
"2015-10-24 09:45:27","192.168.0.105","192.168.0.1","DNS","89","53","Standard query 0xe95c  A pagead2.googlesyndication.com"
"2015-10-24 09:45:27","192.168.0.105","192.168.0.1","DNS","92","53","Standard query 0x479f  A static.columbia.timesinternet.in"
"2015-10-24 09:45:27","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x824b  A vp.videoplaza.tv"
"2015-10-24 09:45:28","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0x4b12  A fonts.googleapis.com"
"2015-10-24 09:45:28","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x5158  A crl.microsoft.com"
"2015-10-24 09:45:28","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x37d7  A ctldl.windowsupdate.com"
"2015-10-24 09:45:28","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x948f  A ajax.googleapis.com"
"2015-10-24 09:45:29","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x9ab2  A ad.crwdcntrl.net"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0xff84  A advertise.indiatimes.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x63b8  A info.indiatimes.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","86","53","Standard query 0x722e  A syndication.indiatimes.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","87","53","Standard query 0xb2eb  A in-cdn.effectivemeasure.net"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0x0071  A www.timesinternet.in"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x388e  A c.betrad.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x415d  A d.adroll.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x028f  A l.betrad.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0xca6c  A s0.2mdn.net"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0xd52c  A s.effectivemeasure.net"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x7802  A goog.applovin.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x40d2  A p.rfihub.com"
"2015-10-24 09:45:30","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0xff7a  A pm.w55c.net"
"2015-10-24 09:45:33","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0xcefa  A dl-debug96.dropbox.com"
"2015-10-24 09:45:36","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x36ba  A bbcore.cloudapp.net"
"2015-10-24 09:45:37","192.168.0.105","192.168.0.1","DNS","81","53","Standard query 0x40f8  A az15112.vo.msecnd.net"
"2015-10-24 09:45:37","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0xa5c7  A rtax.criteo.com"
"2015-10-24 09:45:38","192.168.0.105","192.168.0.1","DNS","89","53","Standard query 0xc596  A beautypageants.indiatimes.com"
"2015-10-24 09:45:38","192.168.0.105","192.168.0.1","DNS","82","53","Standard query 0x83a9  A mytimes.indiatimes.com"
"2015-10-24 09:45:38","192.168.0.105","192.168.0.1","DNS","87","53","Standard query 0x729b  A photogallery.indiatimes.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0x43d2  A twitter.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0xef4e  A www.facebook.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","93","53","Standard query 0x9584  A blogs.timesofindia.indiatimes.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","88","53","Standard query 0xec37  A economictimes.indiatimes.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x5d97  A epaper.timesofindia.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","90","53","Standard query 0xa269  A feminamissindia.indiatimes.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","70","53","Standard query 0x96a3  A google.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x9cd2  A live.indiatimes.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x00ef  A www.cricbuzz.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x1b8a  A www.happytrips.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x5f65  A www.pinterest.com"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x89a8  A www.timesnow.tv"
"2015-10-24 09:45:39","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x7e09  A www.twitter.com"
"2015-10-24 09:45:40","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0x582b  A pubads.g.doubleclick.net"
"2015-10-24 09:45:40","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x735c  A www.speakingtree.in"
"2015-10-24 09:45:40","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0xd49b  A bs.serving-sys.com"
"2015-10-24 09:45:40","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0x1283  A tags.crwdcntrl.net"
"2015-10-24 09:45:42","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0xca8e  A adclick.g.doubleclick.net"
"2015-10-24 09:45:43","192.168.0.105","192.168.0.1","DNS","71","53","Standard query 0x158a  A s1.2mdn.net"
"2015-10-24 09:45:43","192.168.0.105","192.168.0.1","DNS","70","53","Standard query 0xc944  A d.agkn.com"
"2015-10-24 09:45:44","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0xd229  A content.magicbricks.com"
"2015-10-24 09:45:44","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0x6742  A in.mobile.indiatimes.com"
"2015-10-24 09:45:44","192.168.0.105","192.168.0.1","DNS","81","53","Standard query 0x0bcf  A mobile.indiatimes.com"
"2015-10-24 09:45:44","192.168.0.105","192.168.0.1","DNS","88","53","Standard query 0xc0b9  A googleads4.g.doubleclick.net"
"2015-10-24 09:45:44","192.168.0.105","192.168.0.1","DNS","89","53","Standard query 0x5364  A navbharattimes.indiatimes.com"
"2015-10-24 09:45:44","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x74e0  A www.mocolife.com"
"2015-10-24 09:45:49","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0xa68f  A platform.twitter.com"
"2015-10-24 09:45:50","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0x3ab1  A www.googleadservices.com"
"2015-10-24 09:45:52","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x345e  A ade.clmbtech.com"
